tipo;nome;custo;estatuto;lotacaoMaxima;marca;modelo;formal
Imovel;Quinta Tio Manel;25000;55;10;0;0;0
Imovel;Vivenda Lili Canecas;19500;75;7;0;0;0
Imovel;Hogwarts;40000;700;15;0;0;0
Imovel;Monte do Goucha;300000;1000;30;0;0;0
Imovel;Central Perk;20000;700;6;0;0;0
Imovel;Casa BigBrother;100000;30;7;0;0;0
Imovel;T2 de telheiras;500;20;4;0;0;0
Imovel;T1 da Murtosa;300;25;2;0;0;0
Imovel;Casa dos Youtubers;250000;80;7;0;0;0
Imovel;Castelo Westeros;300000;1000;10;0;0;0
Veiculo;Fiat 500;9900;40;0;Fiat;500;0
Veiculo;Mercedes AMG 45;95000;100;0;Mercedes;AMG A45;0
Veiculo;Ferrari SF90;400000;700;0;Ferrari;SF90;0
Veiculo;Volvo xc30;135000;200;0;Volvo;xc30;0
Veiculo;Range Rover;190000;800;0;Range Rover;Velar;0
Veiculo;Peugeot;409380;500;0;Peugeot;308;0
Veiculo;Toyota;73298;900;0;Toyota;Yaris;0
Veiculo;Mazda;890954;720;0;Mazda;cx30;0
Veiculo;BMW;876679;650;0;BMW;a1;0
Veiculo;Audi;34989;300;0;Audi;X6;0
AcessorioModa;Oculos de Sol;300;20;0;Gucci;0;true
AcessorioModa;Bone do Boavista;5;1;0;Made in China;0;false
AcessorioModa;Fato;2500;50;0;Hugo Boss;0;true
AcessorioModa;Sapatilhas de Corrida;50;3;0;Nikw;0;false
AcessorioModa;Botas da Tina;250;300;0;CristinaColection;Cowboy;false
AcessorioModa;Vestido Lili;200;10;0;Lili;Caneças;true
AcessorioModa;Brincos;10;3;0;Parfois;Ouro;true
AcessorioModa;Anel;1500;100;0;Swarovski;Noivado;true
AcessorioModa;Calças;20;2;0;Levis;Pesadas;false
AcessorioModa;Camisola;40;7;0;El Corte;Inglês;false
